"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"106",2016,3,NA,106,"FrRnd",29,"Cardinals","Y","Zac Gallen (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of North Carolina at Chapel Hill (Chapel Hill, NC)","gallen000zac"
"107",2016,4,NA,107,"FrRnd",1,"Phillies","Y","JoJo Romero (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JC","Yavapai College (Prescott, AZ)","romero000joj"
"108",2016,4,NA,108,"FrRnd",2,"Reds","Y","Scott Moss (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","moss--000sco"
"109",2016,4,NA,109,"FrRnd",3,"Braves","Y","Bryse Wilson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Orange HS (Hillsborough, NC)","wilson004bry"
"110",2016,4,NA,110,"FrRnd",4,"Rockies","Y","Colton Welker (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Stoneman-Douglas HS (Parkland, FL)","welker000col"
"111",2016,4,NA,111,"FrRnd",5,"Brewers","Y","Corbin Burnes (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","St. Mary's College of California (Moraga, CA)","burnes000cor"
"112",2016,4,NA,112,"FrRnd",6,"Athletics","Y","Skylar Szynski (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Penn HS (Mishawaka, IN)","szynsk000sky"
"113",2016,4,NA,113,"FrRnd",7,"Marlins","Y","Sean Reynolds (minors)","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Redondo Beach HS (Redondo Beach, CA)","reynol000sea"
"114",2016,4,NA,114,"FrRnd",8,"Padres","Y","Joey Lucchesi (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Southeast Missouri State University (Cape Girardeau, MO)","lucche000joe"
"115",2016,4,NA,115,"FrRnd",9,"Tigers","Y","Kyle Funkhouser (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","funkho001kyl"
"116",2016,4,NA,116,"FrRnd",10,"White Sox","Y","Jameson Fisher (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Southeastern Louisiana University (Hammond, LA)","fisher003jam"
"117",2016,4,NA,117,"FrRnd",11,"Mariners","Y","Thomas Burrows (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Alabama (Tuscaloosa, AL)","burrow002tho"
